zip_code,genre(s),average_rating,state
99835,Animation,4.75,AK
99835,Thriller,4.5,AK
99835,Action,4.454545454545454,AK
99835,Mystery,4.333333333333333,AK
99835,Crime,4.25,AK
99835,Horror,4.25,AK
99835,Sci-Fi,4.0,AK
99835,Adventure,3.875,AK
99835,War,3.5,AK
99835,Comedy,3.466666666666667,AK
99835,Children's,3.3333333333333335,AK
99835,Romance,3.125,AK
99835,Drama,3.0555555555555554,AK
99835,Musical,3.0,AK
99709,Film-Noir,5.0,AK
99709,Thriller,4.214285714285714,AK
99709,Sci-Fi,4.1875,AK
99709,Crime,4.071428571428571,AK
99709,Documentary,4.0,AK
99709,Mystery,4.0,AK
99709,Romance,4.0,AK
99709,Adventure,3.9444444444444446,AK
99709,Action,3.9310344827586206,AK
99709,Drama,3.881720430107527,AK
99709,Musical,3.8,AK
99709,War,3.7142857142857144,AK
99709,Children's,3.6666666666666665,AK
99709,Western,3.5,AK
99709,Comedy,3.347826086956522,AK
99709,Fantasy,3.0,AK
99709,Animation,2.75,AK
99709,Horror,2.6666666666666665,AK
99687,Documentary,5.0,AK
99687,War,3.6666666666666665,AK
99687,Romance,3.526315789473684,AK
99687,Mystery,3.5,AK
99687,Sci-Fi,3.4444444444444446,AK
99687,Crime,3.3333333333333335,AK
99687,Adventure,3.2413793103448274,AK
99687,Drama,3.23728813559322,AK
99687,Action,3.189189189189189,AK
99687,Musical,3.1538461538461537,AK
99687,Comedy,2.902439024390244,AK
99687,Thriller,2.8333333333333335,AK
99687,Horror,2.7857142857142856,AK
99687,Children's,2.608695652173913,AK
99687,Fantasy,2.4,AK
99687,Animation,2.1666666666666665,AK
99687,Western,2.0,AK
99687,Film-Noir,1.0,AK
99603,Drama,4.023255813953488,AK
99603,Animation,4.0,AK
99603,Children's,4.0,AK
99603,Documentary,4.0,AK
99603,Mystery,4.0,AK
99603,Crime,3.857142857142857,AK
99603,Romance,3.823529411764706,AK
99603,War,3.7,AK
99603,Adventure,3.4444444444444446,AK
99603,Thriller,3.411764705882353,AK
99603,Sci-Fi,3.3,AK
99603,Action,3.1578947368421053,AK
99603,Comedy,3.1538461538461537,AK
99603,Fantasy,2.0,AK
99206,Fantasy,5.0,WA
99206,Musical,5.0,WA
99206,Children's,4.5,WA
99206,Drama,4.473684210526316,WA
99206,Thriller,4.4,WA
99206,War,4.285714285714286,WA
99206,Western,4.25,WA
99206,Romance,4.111111111111111,WA
99206,Action,4.1,WA
99206,Comedy,4.066666666666666,WA
99206,Animation,4.0,WA
99206,Adventure,3.9,WA
99206,Crime,3.8,WA
99206,Horror,3.8,WA
99206,Sci-Fi,3.6666666666666665,WA
98801,Musical,4.2,WA
98801,Romance,3.7037037037037037,WA
98801,Mystery,3.6666666666666665,WA
98801,Action,3.6176470588235294,WA
98801,War,3.5,WA
98801,Sci-Fi,3.473684210526316,WA
98801,Thriller,3.466666666666667,WA
98801,Adventure,3.34375,WA
98801,Crime,3.25,WA
98801,Comedy,3.2142857142857144,WA
98801,Drama,3.1818181818181817,WA
98801,Children's,3.15,WA
98801,Animation,3.0,WA
98801,Film-Noir,3.0,WA
98801,Horror,3.0,WA
98801,Fantasy,2.857142857142857,WA
98801,Western,2.0,WA
98682,Documentary,5.0,WA
98682,Romance,4.6,WA
98682,War,4.5,WA
98682,Drama,4.444444444444445,WA
98682,Comedy,4.36,WA
98682,Adventure,4.2727272727272725,WA
98682,Western,4.25,WA
98682,Action,4.235294117647059,WA
